Date,Open,High,Low,Close,Adj Close,Volume
2023-5-3,169.5,170.92,167.16,167.45,167.45,65136018
2023-5-2,170.09,170.35,167.54,168.54,168.54,48425696
2023-5-1,169.28,170.45,168.64,169.59,169.59,52472936
2023-4-28,168.49,169.85,167.8801,169.68,169.68,55275851
2023-4-27,165.19,168.56,165.19,168.41,168.41,64902329
2023-4-26,163.055,165.28,162.8,163.76,163.76,44105745
2023-4-25,165.19,166.305,163.73,163.77,163.77,48714063
2023-4-24,165,165.6,163.89,165.33,165.33,41949581
2023-4-21,165.05,166.4521,164.49,165.02,165.02,58337341
2023-4-20,166.09,167.87,165.56,166.65,166.65,52456377
2023-4-19,165.8,168.16,165.54,167.63,167.63,47720166
2023-4-18,166.1,167.41,165.65,166.47,166.47,49923008
2023-4-17,165.09,165.39,164.03,165.23,165.23,40713618
2023-4-14,164.59,166.32,163.82,165.21,165.21,49386480
2023-4-13,161.63,165.8,161.42,165.56,165.56,68445649
2023-4-12,161.22,162.06,159.78,160.1,160.1,50133062
2023-4-11,162.35,162.36,160.51,160.8,160.8,47644217
2023-4-10,161.42,162.03,160.08,162.03,162.03,47716882
2023-4-6,162.43,164.9584,162,164.66,164.66,45390123
2023-4-5,164.74,165.05,161.8,163.76,163.76,51511744
2023-4-4,166.595,166.84,165.11,165.63,165.63,46278295
2023-4-3,164.27,166.29,164.22,166.17,166.17,56976187
2023-3-31,162.44,165,161.91,164.9,164.9,68749792
2023-3-30,161.53,162.47,161.271,162.36,162.36,49501689
2023-3-29,159.37,161.05,159.35,160.77,160.77,51305691
2023-3-28,157.97,158.49,155.98,157.65,157.65,45992152
2023-3-27,159.94,160.77,157.87,158.28,158.28,52390266
2023-3-24,158.86,160.34,157.85,160.25,160.25,59256343
2023-3-23,158.83,161.5501,157.68,158.93,158.93,67622060
2023-3-22,159.3,162.14,157.81,157.83,157.83,75701811
2023-3-21,157.32,159.4,156.54,159.28,159.28,73938285
2023-3-20,155.07,157.82,154.15,157.4,157.4,73641415
2023-3-17,156.08,156.74,154.28,155,155,98944633
2023-3-16,152.16,156.46,151.64,155.85,155.85,76254419
2023-3-15,151.19,153.245,149.92,152.99,152.99,77167866
2023-3-14,151.28,153.4,150.1,152.59,152.59,73695893
2023-3-13,147.805,153.14,147.7,150.47,150.47,84457122
2023-3-10,150.21,150.94,147.6096,148.5,148.5,68572400
2023-3-9,153.559,154.535,150.225,150.59,150.59,53833582
2023-3-8,152.81,153.47,151.83,152.87,152.87,47204791
2023-3-7,153.7,154.0299,151.13,151.6,151.6,56182028
2023-3-6,153.785,156.3,153.46,153.83,153.83,87558028
2023-3-3,148.045,151.11,147.33,151.03,151.03,70732297
2023-3-2,144.38,146.71,143.9,145.91,145.91,52279761
2023-3-1,146.83,147.2285,145.01,145.31,145.31,55478991
2023-2-28,147.05,149.08,146.83,147.41,147.41,50546998
2023-2-27,147.71,149.17,147.45,147.92,147.92,44998470
2023-2-24,147.11,147.19,145.7202,146.71,146.71,55469606
